DELAY,RATE,MONTH,DAY,HOUR,TOPIC,UNIQUE USERS,THREAD,REPLYS,DEPTH,WIDTH,WORDS NUM,NUM QUESTION,NUM EXCLAMATION,COMPLEXITY,NUM COM E,FRAC E A,FRAC E C,QUESTION TL,EXCLAMATION TL,URL C,PUB TO APP,FC TO MIDNIGHT,DAY OF WEEK,WEEK OF MONTH,AUTHOR,Art Len,Art Neg,Art Pos,Art Hostile,20 Com Neg,20 Com Pos,20 Com Hostile,Art Sentiment Score,10 Com Sentiment Score,Volume
8,1.052631579,4,17,13,152,15,12,8,2,12,900,6,8,4.6773,15,0.069,0.75,1,0,1,-595,836,1,4,11,3736,114,142,75,28,48,24,0.000120073,0.668216911,2.739572344
109,0.131578947,4,18,16,58,15,10,10,6,10,2633,15,0,6.0531,30,0.3529,0.2857,0,0,0,-569,1101,2,4,149,1071,44,23,22,117,78,69,1,0.491025028,2.133538908
499,0.263157895,4,18,2,58,15,10,10,3,10,886,6,1,4.5038,6,0.0789,1,0,0,1,-582,662,2,4,46,806,22,18,19,38,32,24,1,0.760016577,2.206825876
68,1.052631579,4,18,9,239,16,10,10,2,10,821,7,0,4.4725,3,0.1429,0.3333,0,0,0,-575,645,2,4,437,592,27,18,14,33,44,28,0.0238239,0.484394094,2.832508913
77,1.052631579,4,17,11,239,14,13,7,3,13,1178,7,1,4.7766,17,0.1765,0.4615,1,0,1,-598,757,1,4,329,968,26,23,42,46,40,74,0.0469591,0.408297567,2.846955325
73,0.175438596,4,18,18,279,15,11,9,2,11,854,22,0,4.0062,6,0.1429,0.3333,0,0,0,171,1174,2,4,146,597,31,15,11,52,28,20,0.00619897,0.280033939,2.540329475
64,0.526315789,4,18,17,516,14,15,5,2,15,1919,12,2,5.2084,38,0.16,0.2222,0,0,1,56,1129,2,4,203,586,17,21,25,59,61,50,0.926975,0.398154239,3.12515583
68,1.052631579,4,18,18,516,17,13,7,2,13,824,6,8,4.1332,6,0.25,0.5,0,0,1,57,1169,2,4,146,642,22,16,22,40,20,10,1.99E-07,0.550537011,2.856124444
66,1.052631579,4,18,12,86,14,10,10,3,10,793,13,1,4.3142,10,0.28,1,1,0,1,51,810,2,4,313,907,19,14,19,21,14,17,0.999295,0.538203321,2.851258349
83,1.052631579,4,18,9,160,16,14,6,2,14,868,10,9,4.3725,8,0.2143,1,0,0,0,47,628,2,4,404,1120,31,30,30,37,25,31,0.999973,0.480833434,2.276461804
66,1.052631579,4,18,17,86,13,11,9,3,11,522,11,8,3.6142,2,0,0,1,0,0,56,1107,2,4,261,822,27,16,15,24,19,12,0.0754863,0.217394553,2.552668216
69,0.350877193,4,18,9,160,14,10,10,3,10,1005,8,4,4.4642,32,0.1875,0.1071,0,0,0,48,641,2,4,47,583,15,19,7,32,22,34,1,0.198162729,2.025305865
70,0.15037594,4,18,23,160,12,12,8,4,12,1097,12,10,4.6449,7,0.2727,0.5,0,0,0,61,20,2,4,299,469,4,13,10,41,40,21,0.929346,0.441386128,2.227886705
74,0.526315789,4,18,19,86,15,12,8,3,12,757,6,3,4.1854,13,0.1081,0.3333,0,0,0,57,1222,2,4,131,808,18,22,17,27,25,20,0.999963,0.55825462,2.320146286
70,0.021929825,4,18,16,86,17,10,10,3,10,602,5,0,4.2533,0,0,0,1,0,0,-568,1083,2,4,1,63,2,0,1,21,17,8,0.957657,0.9298216,1.72427587
77,1.052631579,4,18,10,6,18,18,2,2,18,389,11,2,3.3876,9,0,0,0,0,1,163,700,2,4,536,559,23,9,19,17,11,13,6.90E-07,0.46365076,3.324488233
64,1.052631579,4,18,14,86,17,13,7,3,13,306,7,0,3.2914,1,0.0909,1,1,0,0,167,942,2,4,434,361,25,12,6,14,8,8,0.999463,0.38748275,2.775974331
85,0.116959064,4,15,18,6,16,10,10,3,10,662,5,0,4.1015,3,0.0185,0.5,0,0,0,-93,1200,6,3,330,1009,43,30,24,26,28,19,0.999987,0.517941814,2
70,1.052631579,4,16,19,204,19,16,4,2,16,1380,4,1,5.0729,17,0.0816,0.6667,0,0,1,-68,1210,7,3,115,2043,60,61,63,39,52,49,1.16E-05,0.626999144,2.666517981
70,1.052631579,4,20,11,273,19,17,3,2,17,680,7,2,4.1527,20,0.2609,0.4286,0,0,0,21,760,4,4,320,1176,18,22,34,18,28,15,0.999998,0.514134936,2.73239376
70,0.210526316,4,19,21,86,12,10,10,3,10,1120,1,3,4.7376,19,0.0364,0.1538,0,0,0,5,1361,3,4,214,984,30,26,24,32,61,26,1,0.8641827,2.139879086
71,0.350877193,4,20,4,273,12,11,9,3,11,700,8,3,4.1281,10,0.3333,0.6667,0,0,0,-65,348,4,4,393,412,4,30,3,17,29,23,0.0430163,0.494933261,2.46834733
78,0.210526316,4,20,5,415,13,12,8,5,12,979,13,17,4.4094,15,0.1364,0.6,0,0,1,-1999,387,4,4,25,1041,18,38,16,30,34,19,0.0222467,0.617564477,1.826074803
72,1.052631579,4,19,5,86,14,13,7,3,13,668,7,4,3.8638,5,0.0588,0.2,0,0,1,-11,422,3,4,513,728,19,19,17,28,25,14,0.999937,0.461651797,2.158362492
64,0.15037594,4,19,19,86,17,15,5,2,15,588,9,0,3.7925,5,0.1333,0.4,0,0,1,5,1246,3,4,182,359,10,12,11,17,26,20,0.999972,0.472876921,2.301029996
75,0.350877193,4,20,14,58,17,15,5,3,15,1176,1,1,4.6438,7,0,0,0,0,0,-1989,929,4,4,75,754,15,33,23,35,57,37,1,0.58259199,2.204119983
86,0.263157895,4,20,16,58,17,16,4,3,16,509,1,1,3.5717,1,0.0385,1,0,0,0,-1987,1099,4,4,387,492,14,19,13,25,20,13,1,0.347811481,2.45484486
67,0.350877193,4,20,13,204,16,13,7,2,13,1223,6,10,4.4593,14,0.0385,0.25,1,0,1,-1990,872,4,4,505,1877,44,76,49,33,43,31,0.999946,0.141601693,2.925312092
87,0.15037594,4,20,9,86,18,17,3,2,17,1091,8,0,4.7349,7,0.0588,0.3333,0,0,0,210,641,4,4,459,508,21,15,7,50,46,39,1,0.801029405,2.041392685
66,0.350877193,4,20,16,160,16,9,11,3,9,942,6,7,4.3678,7,0.0714,0.5,0,0,1,217,1070,4,4,1,557,24,7,11,45,21,35,0.999985,0.70127079,2.283301229
