DELAY,RATE,MONTH,DAY,HOUR,TOPIC,UNIQUE USERS,THREAD,REPLYS,DEPTH,WIDTH,WORDS NUM,NUM QUESTION,NUM EXCLAMATION,COMPLEXITY,NUM COM E,FRAC E A,FRAC E C,QUESTION TL,EXCLAMATION TL,URL C,PUB TO APP,FC TO MIDNIGHT,DAY OF WEEK,WEEK OF MONTH,AUTHOR,Art Len,Art Neg,Art Pos,Art Hostile,20 Com Neg,20 Com Pos,20 Com Hostile,Art Sentiment Score,10 Com Sentiment Score,Volume
729,0.175438596,11,4,13,446,14,9,11,3,9,1328,3,1,4.9389,23,0.0893,0.3333,0,0,0,-14,104,4,1,449,842,17,29,20,50,54,40,0.993521,0.356971102,2.544068044
170,0.350877193,11,5,15,165,16,16,4,2,16,786,3,3,4.2317,4,0.0625,1,0,0,0,11,1103,5,1,239,3986,127,108,99,29,29,21,2.03E-06,0.338495213,2.075546961
25,0.012099214,11,5,13,446,14,9,11,3,9,1307,19,2,4.7169,21,0.2941,0.3846,0,0,1,8,813,5,1,815,428,16,23,7,46,44,39,0.999709,0.25036365,1.301029996
170,0.087719298,11,5,18,165,15,1,19,1,1,617,8,5,3.7937,2,0,0,0,0,0,14,1295,5,1,68,814,4,17,11,25,28,15,0.999997,0.367777125,1.698970004
262,0.04576659,11,5,6,73,19,13,7,2,13,737,7,3,4.0383,8,0.0233,0.1429,0,0,1,-33,652,5,1,504,742,29,30,13,28,27,22,0.999968,0.352566875,1.568201724
54,0.011318619,11,5,18,305,15,11,9,3,11,1705,11,1,5.5057,14,0.2222,0.4444,0,0,1,-21,1136,5,1,268,687,26,23,19,71,37,48,0.000109489,0.56101201,1.301029996
4,1.052631579,11,5,14,305,8,8,12,3,8,669,4,4,3.9921,12,0.0526,0.2,0,0,0,-25,858,5,1,589,1257,36,43,39,23,30,26,0.723071,0.577148837,2.693726949
89,0.030959752,11,4,13,305,15,13,7,3,13,1356,5,7,4.919,11,0.1429,0.5714,1,0,0,-50,891,4,1,81,674,16,20,31,59,33,56,0.00119256,0.376531212,1.633468456
192,0.061919505,11,6,8,116,16,11,9,3,11,980,9,3,4.324,35,0.125,0.1481,0,0,0,-30,619,6,1,1216,1840,32,15,40,29,37,21,2.01E-07,0.495335867,2.303196057
767,0.263157895,11,4,6,305,12,12,8,2,12,1017,14,2,4.344,7,0.0278,0.1429,0,0,1,-56,1173,4,1,706,713,32,25,19,37,31,34,0.00123907,0.465423124,1.913813852
26,0.019860973,11,6,20,116,14,13,7,3,13,1096,9,0,4.9064,10,0.2632,0.8333,0,0,1,-17,1257,6,1,519,560,13,19,20,31,15,50,0.999974,0.391752764,1.579783597
15,0.350877193,11,3,17,305,14,16,4,3,16,771,8,1,3.9622,5,0.0233,0.2,0,0,1,-69,1080,3,1,706,1117,46,34,43,28,27,22,8.83E-08,0.320059289,2.829946696
49,0.070175439,11,3,12,305,17,14,6,3,14,1321,22,2,4.945,13,0.25,0.3,0,0,1,-74,812,3,1,118,357,5,12,17,67,35,62,0.996149,0.40100426,1.556302501
60,0.005482456,11,6,11,116,17,12,8,3,12,974,12,2,4.4182,21,0.2308,0.4,0,0,1,-27,720,6,1,951,528,11,27,11,26,48,19,6.41E-05,0.370421757,1.397940009
17,0.09569378,11,4,16,116,12,12,8,3,12,801,5,6,4.1712,10,0.1071,0.4286,0,0,0,-69,1022,4,1,706,638,24,21,10,35,37,26,0.0263928,0.213497711,1.602059991
19,0.003238866,11,5,16,116,18,13,7,2,13,834,6,3,4.1873,7,0.0714,0.2,0,0,0,-45,1030,5,1,478,249,12,15,8,39,32,23,0.997708,0.596052985,1.380211242
14,0.00683527,11,6,15,116,17,15,5,2,15,851,7,8,4.2367,8,0.0769,0.2857,0,0,1,-22,929,6,1,706,683,15,22,18,27,26,31,0.996518,0.507099045,1.447158031
184,0.131578947,11,6,11,116,16,8,12,3,8,1000,12,8,4.7676,14,0.1333,0.4444,0,0,0,-26,882,6,1,845,916,34,42,21,46,45,29,0.999939,0.303601273,1.880813592
20,0.022883295,11,5,16,116,16,15,5,3,15,1058,16,1,4.7205,5,0.125,0.6,0,0,0,-45,1025,5,1,1366,554,19,22,17,55,51,20,0.000129949,0.377568449,1.568201724
41,0.263157895,11,5,14,165,14,11,9,3,11,927,6,9,4.531,3,0,0,0,0,0,-25,909,5,1,239,54,0,0,0,31,37,20,4.42E-06,0.474231854,2.336459734
24,0.004873294,11,6,0,116,20,9,11,2,9,848,11,4,4.1017,13,0.0732,0.2727,0,0,0,-37,79,6,1,14,549,12,7,4,45,22,22,0.045103,0.435755754,1.322219295
16,0.004657662,11,5,15,116,17,12,8,3,12,1343,14,4,4.7337,32,0.225,0.3103,1,0,1,-46,946,5,1,706,793,22,41,14,34,51,24,0.0440034,0.557692424,1.431363764
179,0.09569378,11,5,8,116,18,16,4,2,16,604,9,4,3.8875,14,0.1538,0.4,0,0,1,-54,659,5,1,1369,395,8,21,3,28,34,19,0.000405058,0.347398512,1.903089987
24,0.105263158,11,6,13,165,16,13,7,3,13,1062,12,6,4.5017,5,0.1,0.5,0,0,0,-2,829,6,1,646,474,7,5,9,29,27,32,0.999983,0.322894107,1.544068044
516,0.028449502,11,6,0,165,14,12,8,3,12,1564,10,4,5.3764,24,0.1875,0.5,0,0,1,-14,574,6,1,85,968,49,27,24,68,47,39,1,0.305814734,1.544068044
103,0.15037594,11,6,21,165,16,19,1,2,19,651,10,7,4.0279,7,0.08,0.3333,0,0,0,6,1409,6,1,176,600,27,7,11,26,13,29,0.986304,0.604627106,2.649334859
43,0.350877193,11,5,16,542,17,12,8,3,12,791,8,4,4.2066,7,0.05,0.3333,0,0,1,-22,1053,5,1,1075,1104,14,29,20,31,21,30,0.999999,0.436236334,1.875061263
55,0.00785546,11,6,18,116,17,7,13,3,7,820,12,3,4.0626,12,0.1538,0.5,0,0,1,-19,1189,6,1,468,637,11,29,8,27,28,21,0.574553,0.570794761,1.602059991
21,0.210526316,11,6,16,116,14,12,8,2,12,826,8,1,4.222,16,0.1081,0.3636,0,0,0,-21,1011,6,1,706,985,40,39,35,24,25,14,0.999999,0.135555928,2.346352974
36,0.210526316,11,6,15,116,17,17,3,2,17,1036,10,3,4.5858,12,0.1818,0.4444,0,0,0,-22,982,6,1,519,1283,40,35,44,49,20,27,0.999999,0.175937471,1.612783857
21,0.052631579,11,6,23,116,11,9,11,3,9,1013,3,2,4.876,11,0.0938,0.4286,1,0,1,-14,1413,6,1,519,1077,29,25,29,42,29,51,7.11E-05,0.082732421,1.908485019
20,1.052631579,11,6,18,116,10,9,11,3,9,478,5,3,3.535,11,0.0476,0.1,0,0,1,-19,1121,6,1,268,722,16,24,19,23,13,12,0.01765,0.588105103,1.897627091
22,0.526315789,11,6,18,116,18,17,3,2,17,680,7,0,4.0109,4,0.0909,0.6667,0,0,1,-19,1127,6,1,320,576,5,12,16,27,20,28,0.997855,0.589933371,2.586587305
775,0.175438596,11,5,14,116,15,13,7,3,13,436,8,2,3.5533,6,0.0571,0.3333,0,0,0,-47,229,5,1,397,622,17,13,13,21,19,11,0.999671,0.480120357,3.10720997
49,0.016708438,11,6,19,305,17,15,5,2,15,1464,6,3,4.9938,11,0.027,0.0909,0,0,1,3,1220,6,1,14,891,32,25,21,37,63,42,0.0535601,0.63338387,2.004321374
52,0.087719298,11,7,14,116,17,11,9,3,11,628,16,4,4.0029,2,0.037,0.5,1,0,0,1,922,7,1,234,640,18,27,20,19,24,30,0.000011363,0.394779451,1.832508913
17,0.210526316,11,6,18,305,11,13,7,3,13,711,10,0,4.0872,8,0.069,0.25,1,0,1,3,1154,6,1,706,822,42,26,17,31,28,31,0.466173,0.537111113,2.563481085
13,1.052631579,11,6,13,116,10,5,15,3,11,1055,8,2,4.3094,22,0.1961,0.5,1,0,1,-24,846,6,1,589,1270,40,42,31,45,42,23,0.174274,0.182681187,2.33243846
64,0.058479532,11,7,23,116,17,16,4,3,16,983,7,2,4.4786,37,0.0641,0.2381,0,0,0,9,63,7,1,1331,1627,19,55,15,16,43,26,0.999184,0.479725455,2.086359831
53,0.131578947,11,6,23,305,15,12,8,3,12,926,6,3,4.2816,9,0.0714,0.125,0,0,1,8,36,6,1,469,539,24,19,11,50,16,31,0.922251,0.349982384,2.440909082
2018,0.003199488,11,5,9,165,17,16,4,2,16,332,4,1,3.2093,7,0.1071,0.5,0,0,0,-118,1138,5,1,1369,717,28,7,11,12,15,11,0.000994066,0.394646993,1.556302501
298,0.012995452,11,10,14,165,10,1,19,1,1,1167,11,1,4.5737,6,0.0526,0.1667,0,0,0,7,1172,3,2,520,370,11,13,5,47,52,36,0.999851,0.38421266,1.380211242
